Source,Target
James Hamilton,David G. Burnet
J. Pinckney Henderson,Secretary of State
J. Pinckney Henderson,Secretary of State
J. Pinckney Henderson,Secretary of State [Burnet]
Lewis Cass,J. Pinckney Henderson
David G. Burnet,James Hamilton
J. Pinckney Henderson,David G. Burnet
J. Pinckney Henderson,Secretary of State [Burnet]
Abner S. Lipscomb,James Hamilton
A. de Saligny,Abner S. Lipscomb
James Hamilton,Mirabeau B. Lamar
A. T. Burnley,Mirabeau B. Lamar
James Hamilton,Abner S. Lipscomb
James Hamilton,M. Guizot
James Hamilton,Abner S. Lipscomb
James Hamilton,Henry Castro
A. de Saligny,Secretary of State [Mayfield]
James S. Mayfield,A. de Saligny
A. de Saligny,James S. Mayfield
James S. Mayfield,A. de Saligny
Henry J. Jewett,James S. Mayfield
A. de Saligny,James S. Mayfield
James S. Mayfield,A. de Saligny
A. de Saligny,James S. Mayfield
James S. Mayfield,A. de Saligny
A. de Saligny,James S. Mayfield
James Hamilton,Abner S. Lipscomb
James S. Mayfield,A. de Saligny
A. de Saligny,James S. Mayfield
A. de Saligny,James S. Mayfield
James S. Mayfield,A. de Saligny
A. de Saligny,James S. Mayfield
James S. Mayfield,Thos. Gales Forster
James S. Mayfield,Wm. Henry Daingerfield
James S. Mayfield,A. de Saligny
James S. Mayfield,Geo. S. Mcintosh
James S. Mayfield,Henry J. Jewett
James S. Mayfield,Geo. S. Mcintosh
Wm. Sevey,James S. Mayfield
James H. Starr,Wm. Sevey
Thos. Gales Forster,James S. Mayfield
Henry J. Jewett,James S. Mayfield
Information given by Henry J. Jewett,A. Hutchinson
James S. Mayfield,Henry J. Jewett
A. Hutchinson,James S. Mayfield
James Hamilton,Mirabeau B. Laniar
Nathaniel Amory,James Hamilton
Nathaniel Amory,Geo. S. Mcintosh
Nathaniel Amory,James Hamilton
James Hamilton,James S. Mayfield
James Hamilton,M. Guizot
James Hamilton,James S. Mayfield
James Hamilton,M. Guizot
Geo. S. Mcintosh,Secretary of State [Roberts]
Geo. S. Mcintosh,M. Guizot
Geo. S. Mcintosh,M. Guizot
M. Guizot,Geo. S. Mcintosh
Geo. S. Mcintosh,M. Guizot
Samuel A. Roberts,Geo. S. Mcintosh
Geo. S. Mcintosh,James S. Mayfield
A. de Saligny,Anson Jones
Anson Jones,George S. Mcintosh
Anson Jones,Ashbel Smith
Anson Jones,A. de Saligny
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
A. de Saligny,Anson Jones
Alleye de Cyprey,A. de Saligny
A. Gloux,Alleye de Cyprey
Declaration of Wyse as,goods shipped on Santa Maria
Wm. Henry Daingerfield,Secretary of State [Jones]
A. de Saligny,Sam Houston
Memorandum relative,Saligny 's investments in Texan bonds 1368
A. de Saligny,Anson Jones
Sam Houston,A. de Saligny
Anson Jones,A. de Saligny
A. de Saligny,Anson Jones
Ashbel Smith,Geo. S. Mcintosh
Ashbel Smith,Theodore Barbey
Geo. S. Mcintosh,Ashbel Smith
Henry Castro,Ashbel Smith
Ashbel Smith,Geo. S. Mcintosh
Henry Castro,Ashbel Smith
Henry Castro,Ashbel Smith
Henry Castro,Ashbel Smith
Theodore Barbey,Ashbel Smith
Henry Castro,Ashbel Smith
Geo. S. Mcintosh,Ashbel Smith
Ashbel Smith,Theodore Barbey
Sam Houston,Ashbel Smith
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Ashbel Smith,M. Guizot
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Aflbbel Smith,Anaon Jones
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
M. Guizot,Ashbel Smith
Ashbel Smith,M. Guisot
M. Guizot,Ashbel Smith
Ashbel Smith,M. Guizot
Ashbel Smith,Anson Jones
G. W. Terrell,Ashbel Smith
Anson Jones,Ashbel.Smith
Anson Jones,Ashbel Smith
Anson Jones,Al. Bourgeois
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Viscount J. de Cramayel,Anson Jones
Ashbel Smith,Anson Jones
Viscount J. de Cramayel,Anson Jones
Anson Jones,Viscount J. de Cramayel
Anson Jones,Viscount J. de Cramayel
Secretary of State [Jones] to Ashbel Smith,February 26 1843
Viscount J. de Cramayel,Anson Jones
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Ashbel Smith,M. Guizot
M. Guizot,Ashbel Smith
Ashbel Smith,M. Guizot
Ashbel Smith,M. Guizot
M. Guizot,Ashbel Smith
Ashbel Smith,M. Guizot
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
M. Guizot,Ashbel Smithy undated i 1442
Ashbel Smith,M. Guizot
Henry Castro,Ashbel Smith
Ashbel Smith,Henry Castro
Sam Houston,Viscount J. de Cramayel
Anson Jones,Viscount J. de Cramayel
Viscount J. de Cramayel,Anson Jones
Wm. Henry Daingerfield,Ashbel Smith
Anson Jones,Viscoimt J. de Cramayel
Ashbel Smith,Anson Jones
M. Guizot,Ashbel Smith
M. Guizot,Ashbel Smith
Wm. Henry Daingerfield,Ashbel Smith
Anson Jones,Ashbel Smith
James Hamilton,Anson Jones
A. Somervell,M. C. Hamilton
Wm. Henry Daingerfield,Anson Jones
Viscount J. de Cramayel,Anson Jones
Wm. Henry Daingerfield,Secretary of State Jones
Ashbel Smith,Anson Jones
Ashbel Smith,M. Guizot
Asbbel Smith,Anson Jones
Viscount J. de Cramayel,Anson Jones
Sam Houston,Anson Jones
Ashbel Smith,Anson Jones
Al. Bourgeois,Ashbel Smith
Charles de Castell,Al. Bourgeois
Ashbel Smith,Al. Bourgeois
Anson Jones,Viscount J. de Cramayel
Ashbel Smith,Anson Jones
Wm. Henry Daingerfield,Ashbel Smith
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
â€¢Anson Jones,Ashbel Smith
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
Ashbel Smith,Anson Jones
M. Guizot,Anson Jones
A. de Saligny,Ashbel Smith
Ashbel Smith,A. de Saligny
G. W. Terrell,Ashbel Smith
Terrell's address,the King of France
Reply of the King of France,Terrell's address
G . W. TerreU,M. Guizot
Ashbel Smith,A. de Saligny
A. de Saligny,Ebenezer Allen
Ebenezer Allen,A. de Saligny
Ashbel Smith,Washington Irving
Ashbel Smith,Anson Jones
Ashbel Smith,General Sancho
Anson Jones,Ashbel Smith
Ashbel Smith,Martinez de La Rosa
Wm. Henry Daingerfield,Lachlin M. Rate
Wm. Hienry Daingerfield,Baron Roenne
Wm. Henry Daingerfield,G. W. Terrell
James Hamilton,Abner S. Lipscomb
James Hamilton,Abner S. Lipscomb
James Hamilton,Secretary of State [Roberts]
Anson Jones,Victor Pirson
Wm. Henry Daingerfield,Anson Jones
Wm. Henry Daingerfield,Count d' Alviella
James Hamilton,Abner S. Lipscomb
Abner S. Lipscomb,James Hamilton
James Hamilton,Abner S. Lipscomb
Anson Jones,Wm. Henry Daingerfield
Anson Jones,James Hamilton
Anson Jones,Wm. Henry Daingerfield
Wm. Henry Daingerfield,Anson Jones
Henry Castro,Anson Jones
Anson Jones,Wm. Henry Daingerfield
Wm. Henry Daingerfield,Lachlin M. Rate
Wm. Henry Daingerfield,Anson Jones
Anson Jones,Wm. Henry Daingerfield
Wm. Henry Daingerfield,Anson Jones
Wm. Henry Daingerfield,V. Rumpff
Wm. Henry Daingerfield,Ashbel Smith
Wm. Henry Daingerfield,V. Rumpff
Wm. Henry Daingerfield,V. Rumpff
Wm. Henry Daingerfield,Anson Jones
Wm. Henry Daingerfield,Anson Jones
Wm. Henry Daingerfield,Anson Jones
Wm. Henry Daingerfield,Senator Gildmeister
R. Sieveking,Wm. Henry Daingerfield
Wm. Henry Daingerfield,G. W. Terrell
Ashbel Smith,Wm. Henry Daingerfield
Wm. Henry Daingerfield,Ebenezer Allen
Wm. Henry Daingerfield,Ashbel Smith
Wm. Henry Daingerfield,R. Sieveking
Wm. Henry Daingerfield,Ebenezer Allen
to them have been added some new ones. The effort,restore
the annotations,has been
more easily worked out by readers unable,reach the Texan archives
seemed important enough,call for it
French and Spanish accents has been made wherever there seemed to ,
to be habitual or due,want of information have
freedom has been used in editing copies that there is reason,sus-
pect as corrupt than originals and copies that appear,be trust-
in the correspondence with Spain,even though written by or
Texan charge,Great Britain and France.
sion,Great Britain and France. He had letters of credence both
as agent and as minister plenipotentiary,Great Britain
sumably also,France.** He reached London in October. The
efforts,establish relations with Spain
1839,James Hamilton was sent
was appointed Texan diplomatic commissioner,the Netherlands
William H. Daingerfield was commissioned as charg6 d'affaires to ,
correspondence,ascertain through official sources the attitude
d'affaires,Great Britain and France
Sancho,Spanish minister
United States minister,Spain
minister,Spain in 1846
Lamar's administration,estabUsh amicable relations with Mexico.
agent and as minister plenipotentiary of Texas,Mexico. He went
toVeraCmz in May; but the Mexican government refused,receive
a No copies of his letters of credence,France have been found
as those,Great Britain
Treat was appointed private and confidential agent of Texas to ,
missions similar,those which had been given
to Vera Cruz in May,but was not allowed
ment of Mexico,inviting him
which the fleet of Texas was subsidized,operate against Mexico on
First after the United States,accord recognition
prospect of annexation,it seems never
were admitted,the ports of Great Britain as those of Mexico; and a
vided for the admission of Texan vessels,the ports of Bremen on
the same terms as,port charges and duties as the ships of Bremen
and France were ratified,charges were sent
nations; but no other had a diplomatic representative,that repub-
Â« There is good reason,believe that Mr. 7. T. Crawford
agent of Qieat Britain,report on its civil and political condition. Count de Saligny undertook a similar
None of these,however
original kept by Daingerfield for his missions,the Netherlands
archives. That it was brought,Texas and delivered
tary of State is shown by the letter of Daingerfield,Allen
Just as this part was ready,as the editor thought
Many of the letters in the newly discovered group belong,the
They make it possible,in some cases and
and properly,be included in the correspondence now remains
The editor is under special obligations,State Librarian E. W.
ful acknowledgment is made also,instructors Walton H. Hamilton
and arranging the copies; to Profs. Lilia M. Casls and E. J. Villavaso,
French letters; and,Mr. C. T. Neu
already published was prepared by him,and he left
Burnley,Jones; Gc\iii^\l
Williams,Jones
Reily,Jones
DonelBon,Allen
Allen,DonelBon
tion and opposition of United States,Mexican method of prosectlting war against
Kaufman,Jones
chaig6,the United States. Jones
Kaufman,Jones
Santa Anna,Filisola
and gives orders for the withdrawal of Filisola and Gaona,Bexar
Santa Anna,Filisola
Santa Anna,Filisola
C6pano be sent,San FeHpe. Tel^raph and Texas Register
Filisola,Santa Anna
Santa Anna,Filisola
Filisola,Santa Anna
Santa Anna,Burnet
1836,with respect
Burnet,Santa Anna
Jackson,Santa Anna
have the right,change their governments as the people may dictate
Lamar,Citizens of Santa F^
the ^unily of nations as a free Republic,mvitSi p^ple df Santa F6
liberty,and promises
tion,Addrebs of Lamar
Lipscomb,Hamilton and Burnley
Santa Anna,Houston
in person,Washington
Wright,Lamar
Arista,Lamar
the Rio Grande is for the purpose of punishing the Indians,and not intended
Lamar,Inhabitants of Santa F^
Grande River,June 5 1841
region,and announces appointment of commissioners
Consultation,Address of Lamar
Bee,Santa Anna
Hamilton,Santa Anna
condition of an indemnity of $5,000
Santa Anna,Bee
will be treated according,generally recognized principles. Mexico in 1842
Santa Anna,Hamilton
States,has no right
indemnity. Texan brutalities. Expresses personal gratitude,Houston. To
acknowledge Texan independence would be,sacrifice Mexico's noble stand on
Hamilton,Santa Anna
Houston,Santa Anna
S&lt;Â»nervell,Jones
Daingerfield,Jones
Daingerfield,Jones
Houston,Somervell
willing,invade Mexico upon the southwestern boundary
Hamilton,Somervell
western frontier,to organize troops
Somervell,Hamilton
Hamilton,Somervell
Somervell,Houston
and gives information as,location of Mexican troops on border and disposition of
Hamilton,Somervell
pline of the troops,repeats orders
Hamilton,Somervell
order,avoid surprise
Somervell,Hill
Hill,Hockley and Williams
Mooro,Cooke
Peraza,Roberts
by land and by sea. Asks that Texas send two or three of her vessels,aid in repelling
Roberts,Peraza
Peraza,Roberts
Archer,Moore
Archer,Moore
Roberts,P^aza
ordered,proceed
Moore,Lemus
Lemus,Moore
Moore,Rej6n
Rej6n,Moore
Yucat&amp;n has not renounced her right,be incorporated in the Mexican Union. Moore
Gray,the Mexican and Yucatin commissionerB
Gray,Moore
Rej6n,Moore
Moore,Rej6n
Moore,Rej6n
Rej6n,Moore
Yucat&amp;n,October 25 1841
Moore,Rej6n
Moore,Lemus
Lemus,Moore
Moore,Cdrdenas
Moore,Celerayan
Cirdenas,Moore
Celerayan,Moore
Moore's acts were,be hostile
Moore,Lemue
that his acts were,be hostile
Lemus,Moore
Moore,Lemus
Lemus,Moore
is willing for Moore,withdraw with the squadron under his command. Moore
Moore,Lemus
Lemus,Moore
Moore,Lemus
Moore to,Cdrdenas
Moore,Lemus
pended. Texas has proven her friendship,Yucatdn. Moore
Cardenas,Moore
Moore,Lemus
De Lleigo,Moore
addressed,Mr. Seeger. Moore
Moore,C&amp;rdenas
Moore,the governor of Yucatdn
Barbachano,Moore
Mendez,Moore
Cdrdenas,Moore
Moore,Mendez
Moore,Barbachano
Houston,Moigan and Bryan
secure possession of national vessels,equipments
in case of resistance,and
contrary,orders since October 29 1842
Moore,Barbachano
Barbachano,Moore
Moore,Barbachano
the making of the treaty of capitulation,since it stipulates that he is not
Barbachano,Moore
but it was entered into,free Yucatin of the capitulating forces. Moore
Moore,Meddez
Mendez,Moore
Moore,Mendez
Mendez,Moore
Moore,Barbachano
Barbachano,Moore
Moore,Barbachano
Moore,Barbachano
due him. Should Yucatdn be again involved in war it will be a pleasure,come to
Moore,Barbachano
lamation,is anxious
Barbachano,Moore
Irion,Henderson
transcended his orders in capturing the Eliza Russell,Henderson is
statement,the English Government and express the regrets of the Texan Govern-
16-17; copy inclosed with Henderson,Irion
Henderson,Palmerston
Cong.,13; copy inclosed with Henderson
Palmerston,Henderson
with Henderson,Irion
Henderson,Irion
a This report contains,besides the letters caloidared
matic Correspondence,but nevertheless pertinent
have been able,learn
kindly Irat it,the editor
docimients submitted,sustain it. Report House Committee on Foreign Relations
4th Tex. Cong.,20-23; copy inclosed with Tolme
Tolme a,Palmerston
of Joseph Russell relative,the capture of the Eliza Russell. Report House Com-
Lizardi &amp; Co. to Palmerston,January 5 1838
Tex. Cong.,15-16; copy inclosed with Palmerston
Palmerston,Henderson
Relations,4th Tex. Cong.
Henderson,Palmerston
24; but,being without instructions on the subject
copy inclosed with Henderson,Irion
Henderson,Irion
as,damages in the case of the Little Penn. Does not regard the claim as just
suggests necessity for prompt attention,it. Report House Committee on Foreign
Palmerston,Henderson
Cong.,19; copy inclosed with Henderson
Henderson,Palmerston
ston's of the 19th with accompanying documents; will transmit them,his Govern-
copy inclosed with Henderson,Irion
Henderson,Irion
Irion,Henderson
Irion,Henderson
pay the Eliza Russell claim. Texan Government not disposed,reject just claims
but it will be difficult,adjust them without a resident English agent. Report
Palmerston,Henderson
the Little Penn and Eliza Russell claims and asks what has been done,fulfill the
copy inclosed with Henderson,Irion
A Co. to Arrangoiz,Droosten &lt;fc Co.
Hend^^on,Palmerston
mended,Congress an appropriation
only because the owner failed,appear personally
28-30; copy inclosed with Henderson,Irion
Henderson,Inon
Henderson,Irion
Backhouse to [Swain,Stevens &amp; Co.]
Cong.,42; copy inclosed with Swain
Adam to [Nash],November 20 1838
Adam to [Nash],November 21 1838
Adam,Nash
terday,Mr. Backhouse
tion in regard,the Eliza Russell. Report House Committee on Foreign Relations
4th Tex. Cong.,43; copy inclosed with Swain
Irion,Henderson
British claims for indemnity approved. He is authorized,settle the Eliza Russell
claims for any amount up,the Â£865 demanded. The Texan Government is con-
is not disposed,evade any just claims for indemnity. Report House Committee
Backhouse,Swain
November 28,sends a letter from Palmerston
directing him,assist Captain Russell in the case against him at that place. Report
Swain,Stevens A Co. to Arrangoiz
Swain,Stevens &lt;fe Co. to Arrangoiz
Arrangoiz,Droosten A Co. to write
Orleans directing them,urge the settlement of the claims. Report House Com-
Co. to Webb,April 16 1839
Henderson,Secretary of State [Bee]
again,the British Claims. Report Hoiise Committee on Foreign Relations
Henderson,Bee
Irion,Henderson
acknowledged by the president,who has promised
YogelgBango &amp; Co. to Webb,April 16 1839
Crawford,Webb
for the owner of the Eliza RusseU,attention
Jones,Hughes
do much in England and France,secure the recognition of Texas. Incloses a
Hughes,Jones
Hughes,Palmerston
Jones,Memoranda and Oflicial Correspondence
Palmerston,Hughes
copy inclosed with Hughes,Jones
Hughes,Jones
Burnet,Crawford
in November,and the subject will be presented
Burnet,Henderson
Burnet,the British consul at New Orleans relative
have risen,double the amoimt originally demanded. Report House Committee
Palmerston,Henderson
and Little Penn claims and refers,the promise by the Texan authorities
first. The British Government would be justified in sending a ship of war,Texas
to enforce payment of the claims,but wishes
copy transmitted with Mcintosh,Secretary of State
Palmerston,Henderson
ton),October 14 1843
Henderson,Palmerston
14 1843,
Mcintosh,Secretary of State [Burnet]
fearful of ofifending O'Oonnell and the Abolitionists,extend recognition
McGregor,President of Texas
been ordered,support Commander Hamilton in his mission
certain ''British negroes'' supposed,be held in slavery in Texas. House Journal
McGregor,President of Texas
jects of Great Britain,allied
Burnet,Hamilton
Lipscomb,Hamilton
negroes,British subjects all^^ed
Hamilton,Lipscomb
Hamilton,Lipscomb
a British subject alleged,be held in slavery in Texas
Lipscomb,Hamilton
of a certain n^;ro,if found
be a British subject will be delivered,proper authorities. House Journal
Hamilton,Lipscomb
Hamilton,Lipscomb
and recovering negroes,subjects of Great Britain
Hamilton,Lipscomb
Lipscomb,Hamilton
Palmerston,Hamilton
mercial treaty with Texas and,recognize her on condition that Texas shall assist
and Texas Register,January 12 1842
Hamilton,Palmerston
he is ready,sign it. Telegraph and Texas Register
with Hamilton,Lipscomb
Palmerston,Hamilton
Hamilton,Lamar
Hamilton,Jones
Smith,Jones
Teulon,Jones
Smith,Jones
from G. Shaw,Thos. Wilson A Co. Telegraph and Texas Register
Elliot,Jones
Jones,Elliot
for lands in Texas' will be presented,Congress. Telegraph and Texas Register
Jones,Smith
ments of France and Great Britain relative,the predatory warfare carried on by
Elliot,Jones
Jonee,Elliot
Jones,Smith
Duplicate sent,Van Zandt
Elliot,Jones
Smith,Aberdeen
ister,LXVI
Smith,Jones
Elliot,Jones
Elliot,Jones
sentation,Congress relative
Elliot,Jones
Elliot,Jones
proposition of Santa Anna relative,the exchange of prisoners. Jones
Kennedy,Jones
Jones,Elliot
Aberdeen,Smith
Texas,but wishes
that private individuals should do their best,attain an object so desirable. Niles'
Roister,LXVI
Elliot,Jones
Green,Elliot
Elliot,Green
Green,Elliot
Kennedy,Jones
Aberdeen,Pakenham
Independence established,but with no occult designs. She wishes
copy inclosed with Elliot,Jones
Elliot,Jones
Elliot,Jones
Jones,Elliot
Elliot,Jones
Elliot,Jones
Jones,Elliot
Elliot,Jones
Smith,Jones
Kennedy,Jones
Can not come,Washington. Jones
Elliot,Jones
determination,sustain the independence of the Republic
son's mission,the United States is
Jones,Smith
Smith,Jones
Elliot,Allen
Elliot,Jones
Terrell,Jones
Terrell,Jones
two interviews with Aberdeen. Was assured that England had no desire,acquire
Terrell,Jones
Smith,Elliot
that goods really belonged,Mexicans. Senate Journal
Jones,Aberdeen
go,Mexico. Jones
Elliot,Jones
Elliot,Jones
Smith,Jones
Smith,Jones
England where he will use every exertion,accomplish his mission. Jones
Elliot,Jones
gress the authority,treat with Texas. Jones
Smith,Jones
Elliot,Jones
Elliot,Jones
on the friendship of England. Implores Jones,preserve Texas. Jones
EUiot,Allen
Allen,Smith
Terrell,Jones
Elliot,Jones
Henderson,Jones
Henderson,Jones
Henderson,Jones
tion proposition has removed the one obstacle,the recognition of Texas by France and
Henderson,Jones
vessels manned by free n^;roe8,enter her ports. Jones
Henderson,Jones
Henderson,Jones
influencing Great Britain,delay recognition. Jones
Soult,Hamilton
Henderson,Jones
Hughes,Jones
Guizot,Hamilton
promise of Marshall Soult. A guaranty of such a nature would have,be submitted
Hamilton,Guizot
Saligny,Jones
him of the charges against him and he is preparing,return
Saligny,Jones
relative,the charges against him are as conciliatory as those of Texas. Jones
Hamilton,Jones
Jones,Smith
ments of France and Great Britain relative,the predatory warfare carried on by
Jones,Smith
Hughes,Jones
Smith,Jones
Guizot,Saligny
Smith,Jones
Terrell,Jones
Saligny,Jones
Saligny,Jones
DeCyprey,Jones
Jones,DeCyprey
Fisher,Jones
Lipscomb,Hamilton and Burnley
Hamilton,Lipscomb
Hamilton,Lipscomb
Netherlands for recognition preparatory,securing a loan
Hamilton,Lipscomb
Daingerfield,Jones
Daingerfield,Jones
refers,despatches of the same date. Jones
Daingerfield,Jones
Cardinal Fransonius,President of Texan Republic [Burnet]
the church be turned over,Timon
Burnet,Cardinal Fransonius
over,Timon. Ildn
Jacksok,Houston
Houston,Henderson .Â«
Whereas it is the ardent desire and interest of this Government to ,
upon just and liberal terms and,procure the acknowledgement by
